Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Bosnia and Herzegovina,0.5332,18.3339,0.0633,0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,19.4,2.5,1.246357818,0.033099665,0.806430966,0.406827187,3281000,%
Botswana,0.3682,20.29,0.1534,0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0,0,0.0384,29.71,0.0153,1.189,0.4986,16.1,26.4,0.255632283,0.000906344,0.040008632,0.214717307,2317000,%
Brazil,0.2807,29.0557,0.1266,0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.022,0.0165,0.066,20.9443,0.022,0.8089,0,22.3,2.5,2.540288086,0.07407654,2.136986101,0.329225445,211812000,%
Bulgaria,0.6659,24.988,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0,0,0.132,25.012,0.024,1.3139,0.096,27.4,3.6,0.546975603,0.015793273,0.264963188,0.266219142,6927000,%
Burkina Faso,1.366,7.1846,0.0066,0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0,0,0.0854,42.8121,0,0.3809,0.0394,4.5,20,0.01172559,0.00031096,0.009658901,0.001755729,20903000,%
Cabo Verde,0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0,0,0.0505,31.4704,0.0361,1.6875,0.5625,10.6,12.6,1.510071942,0.016906475,1.310251799,0.182913669,556000,%
Cambodia,0.4817,14.6494,0.0153,0,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0,0.0382,35.3544,0,0.8946,0.2294,3.5,16.4,0.001851971,0,0.00182616,2.58E-05,15497000,%
Cameroon,0.5688,8.1066,0.0144,0,19.7696,0.072,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0,0,0.3168,41.8934,0.0072,2.5414,0.0792,9.5,9.9,0.081096323,0.001597865,0.075633506,0.003864952,26598000,%
Canada,0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915,31.3,2.5,0.573118617,0.026171773,0.482309505,0,38190000,%
Central African Republic,0.2045,21.8538,0.0969,0,8.8276,0.1507,2.433,1.0012,15.3192,1.6363,2.2069,3.6064,5.5765,0.0108,7.7726,0.3876,0,0.0431,0,28.1516,0,0.689,0.0323,6.3,59.6,0.100662526,0.001283644,0.039834369,0.059544513,4830000,%
Chad,0.0567,15.4353,0.0425,0,22.6744,0.0709,2.2689,0.0993,7.4872,2.7723,2.8006,6.6931,3.7365,0,1.1132,0.0142,0,0,0,34.5576,0,0.1631,0.0142,4.8,37.5,0.008514546,0.000568821,0.007513184,0.000432541,16877000,%
Chile,0.2314,25.6899,0.1016,0,17.7775,1.6141,2.0374,0.4966,16.5077,5.226,0.1919,0.4571,1.3996,0.0282,1.8285,0.316,0,0,0.2653,24.3185,0.0169,1.4222,0.0734,28.8,2.7,2.578649204,0.071617874,2.456353364,0,19470000,%
China,0.1648,30.6446,0.0471,0.0515,10.8868,2.7059,5.9326,0.437,16.3074,2.4705,3.1282,1.7892,0.3149,0.0765,0.5253,0.387,0.0015,0.0088,0.6092,19.3546,0.0059,3.6829,0.4679,6.6,8.5,0.006499713,0.000337924,0.006132553,2.92E-05,1402385000,%
Colombia,0.2626,25.6945,0.0346,0,15.038,2.3981,1.4444,2.1493,12.4395,8.4243,0.9468,0.6496,2.3497,0.1106,1.8037,0.1313,0.0138,0.4699,0.2211,24.3124,0.0346,0.9883,0.0829,22.1,4.8,2.054617345,0.060674703,1.835165035,0.158777607,49444000,%
Congo,0.7335,23.8551,0.0089,0,13.2021,0.1431,7.898,0.9034,13.5599,0.5725,1.6726,1.7531,1.61,0.0089,4.9732,0.0716,0,0,0.0089,26.1449,0.0179,2.7102,0.1521,8.4,40.3,0.297136644,0.007194636,0.260130482,0.029811526,5518000,%
Costa Rica,0.0739,28.0821,0.0739,0,12.6794,1.7744,3.5672,0.8441,10.3814,11.7861,0.499,1.4602,4.2943,0.1047,0.6099,0.5545,0,0.0123,0.1417,21.921,0.0062,1.0351,0.0986,25.7,4.8,2.016982978,0.025083154,1.213793778,0.778106046,5111000,%
Cote d'Ivoire,0.1859,11.5833,0,0,20.0997,0.49,4.5708,1.0983,4.4187,0.6506,1.4447,2.2727,1.1406,0.4309,9.4627,1.4109,0,0,0.997,38.4167,0.0084,1.2842,0.0338,9,19,0.078204394,0.000466094,0.07704298,0.00069532,26175000,%
Croatia,0.642,29.7692,0.1162,0,13.4872,1.3061,3.1767,0.5811,12.7677,11.4561,0.9408,0.5866,0.2601,0.0775,0.8966,0.9242,0,0.0387,0.249,20.2335,0.0221,2.4683,0,27.1,2.5,0.904975124,0.010870647,0.616890547,0.27721393,4020000,%
Cuba,0.1187,18.4193,0.0057,0,17.5712,1.3795,0.8706,1.1703,11.1771,4.3024,0.6841,2.6063,6.5242,0.0283,1.2438,0.1753,0,0,0,31.5807,0,2.1088,0.0339,26.7,2.5,0.05820406,0.001134651,0.053169045,0.003900363,11281000,%
Cyprus,0.2117,28.43,0.0436,0,13.695,1.4698,4.2661,0.8657,14.6478,7.3613,0.6352,1.1335,1.1335,0.081,0.5418,0.6415,0,0.0062,0.4048,21.5669,0.0125,2.1548,0.6975,22.6,5.6,0.293703397,0.002071251,0.155923778,0.135708368,1207000,%
Czechia,1.1737,30.7412,0.3469,0,12.3208,1.4801,1.5611,0.5608,14.7375,11.9392,0.6765,0.3238,0.7227,0.0925,1.5842,0.5666,0,0.0173,0.2024,19.2588,0.0578,1.4801,0.1561,28.5,2.5,2.40851997,0.02053938,0.908743934,1.479236655,10716000,%
Denmark,0.3937,32.3912,0.4246,0,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0,0.0044,0.4423,17.6088,0.0575,1.526,0,21.3,2.5,0.701029336,0.012043232,0.557196775,0.131789329,5829000,%
Djibouti,0.0225,9.6191,0.0225,0,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0,0,0.105,40.3809,0.0075,2.4142,0.3749,12.2,18.9,0.560323887,0.006174089,0.546761134,0.007388664,988000,%
Dominica,0.038,27.2601,0.0634,0,11.2385,0.4245,5.4165,2.9142,12.2648,8.3434,0.7475,0.7095,1.7738,0.4371,3.2626,0.6018,0,0,0.0063,22.7431,0.0127,1.4634,0.2787,28.2,6.2,0.052777778,0,0.040277778,0.0125,72000,%
Dominican Republic,0.4784,25.6914,0.0224,0,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0,0,0.0374,24.3086,0,0.9643,0.3438,26.9,9.5,1.185971429,0.021171429,0.977628571,0.187171429,10500000,%
Ecuador,0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0,0.0304,27.2423,0.0152,0.7753,0.1596,19.3,7.9,0.92304837,0.071686369,0.809542573,0.041819428,17511000,%
Egypt,0.0052,12.4994,0.0467,0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0,0.0467,37.5032,0.0052,2.4916,0.026,31.1,4.5,0.105691299,0.006149619,0.098115135,0.001426545,100803000,%
El Salvador,0.1203,17.3405,0.0468,0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0,0.0334,32.6495,0.0267,1.5035,0.3074,22.7,9,0.502777349,0.014642802,0.436012961,0.052121586,6481000,%
Estonia,0.5907,28.6013,0.2233,0,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,23.8,2.9,0.331404959,0.005484598,0.259729527,0.066190834,1331000,%
